season,round,id,abbr,type,totalPoints,nnTotalPoints
2025,16,MER,MER,constructor,37,40
2025,16,RED,RED,constructor,56,60
2025,16,VRB,VRB,constructor,27,28
2025,16,WIL,WIL,constructor,23,23
2025,17,ALP,ALP,constructor,7,11
2025,17,AST,AST,constructor,-2,5
2025,17,FER,FER,constructor,28,28
2025,17,HAA,HAA,constructor,13,23
2025,17,KCK,KCK,constructor,17,17
2025,17,MCL,MCL,constructor,6,26
2025,17,MER,MER,constructor,67,67
2025,17,RED,RED,constructor,85,85
2025,17,VRB,VRB,constructor,41,45
2025,17,WIL,WIL,constructor,46,46
2025,18,ALP,ALP,constructor,6,7
2025,18,AST,AST,constructor,37,37
2025,18,FER,FER,constructor,48,49
2025,18,HAA,HAA,constructor,15,16
2025,18,KCK,KCK,constructor,-4,8
2025,18,MCL,MCL,constructor,64,64
2025,18,MER,MER,constructor,67,68
2025,18,RED,RED,constructor,51,51
2025,18,VRB,VRB,constructor,16,22
2025,18,WIL,WIL,constructor,5,26
2025,19,ALP,ALP,constructor,18,25
2025,19,AST,AST,constructor,-12,28
2025,19,FER,FER,constructor,85,85
2025,19,HAA,HAA,constructor,13,33
2025,19,KCK,KCK,constructor,25,25
2025,19,MCL,MCL,constructor,22,62
2025,19,MER,MER,constructor,61,69
2025,19,RED,RED,constructor,92,92
2025,19,VRB,VRB,constructor,34,39
2025,19,WIL,WIL,constructor,27,47
2025,20,ALP,ALP,constructor,14,15
2025,20,AST,AST,constructor,2,22
2025,20,FER,FER,constructor,58,63
2025,20,HAA,HAA,constructor,45,45
2025,20,KCK,KCK,constructor,2,22
2025,20,MCL,MCL,constructor,86,86
2025,20,MER,MER,constructor,58,61
2025,20,RED,RED,constructor,36,36
2025,20,VRB,VRB,constructor,-10,15
2025,20,WIL,WIL,constructor,29,29
2025,21,ALP,ALP,constructor,12,32
2025,21,AST,AST,constructor,9,17
2025,21,FER,FER,constructor,-3,37
2025,21,HAA,HAA,constructor,54,54
2025,21,KCK,KCK,constructor,-9,25
2025,21,MCL,MCL,constructor,63,84
2025,21,MER,MER,constructor,91,91
2025,21,RED,RED,constructor,88,89
2025,21,VRB,VRB,constructor,47,50
2025,21,WIL,WIL,constructor,42,42
2025,22,ALP,ALP,constructor,3,6
2025,22,AST,AST,constructor,-8,16
2025,22,FER,FER,constructor,48,48
2025,22,HAA,HAA,constructor,24,24
2025,22,KCK,KCK,constructor,-8,12
2025,22,MCL,MCL,constructor,-34,26
2025,22,MER,MER,constructor,77,77
2025,22,RED,RED,constructor,85,85
2025,22,VRB,VRB,constructor,30,36
2025,22,WIL,WIL,constructor,9,31
2025,23,ALP,ALP,constructor,14,15
2025,23,AST,AST,constructor,21,26
2025,23,FER,FER,constructor,22,25
2025,23,HAA,HAA,constructor,-5,15
2025,23,KCK,KCK,constructor,4,24
2025,23,MCL,MCL,constructor,96,99
2025,23,MER,MER,constructor,57,59
2025,23,RED,RED,constructor,67,67
2025,23,VRB,VRB,constructor,22,31
2025,23,WIL,WIL,constructor,39,39
2025,24,ALP,ALP,constructor,4,5
2025,24,AST,AST,constructor,47,47
2025,24,FER,FER,constructor,83,83
2025,24,HAA,HAA,constructor,34,34
2025,24,KCK,KCK,constructor,40,40
2025,24,MCL,MCL,constructor,77,77
2025,24,MER,MER,constructor,35,37
2025,24,RED,RED,constructor,52,56
2025,24,VRB,VRB,constructor,6,19
2025,24,WIL,WIL,constructor,24,24
